"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"TE","Tyler Kroft",2500,"Buf@Cin 01:00PM ET",2.133,"Cin"
"TE","C.J. Uzomah",2500,"Buf@Cin 01:00PM ET",4.538,"Cin"
"TE","Nick O'Leary",2500,"Buf@Cin 01:00PM ET",2.044,"Buf"
"TE","Brandon Myers",2500,"TB@KC 01:00PM ET",1.656,"TB"
"TE","Andrew DePaola",2500,"TB@KC 01:00PM ET",0.000,"TB"
"TE","Luke Stocker",2500,"TB@KC 01:00PM ET",0.817,"TB"
"TE","James Winchester",2500,"TB@KC 01:00PM ET",0.000,"KC"
"TE","James O'Shaughnessy",2500,"TB@KC 01:00PM ET",0.111,"KC"
"TE","Ross Travis",2500,"TB@KC 01:00PM ET",0.900,"KC"
"TE","Demetrius Harris",2500,"TB@KC 01:00PM ET",2.000,"KC"
"TE","Alan Cross",2500,"TB@KC 01:00PM ET",0.214,"TB"
"TE","Logan Paulsen",2500,"Chi@NYG 01:00PM ET",0.500,"Chi"
"TE","Patrick Scales",2500,"Chi@NYG 01:00PM ET",0.000,"Chi"
"TE","Larry Donnell",2500,"Chi@NYG 01:00PM ET",3.650,"NYG"
"TE","Daniel Brown",2500,"Chi@NYG 01:00PM ET",0.000,"Chi"
"TE","Ben Braunecker",2500,"Chi@NYG 01:00PM ET",0.300,"Chi"
"TE","Jerell Adams",2500,"Chi@NYG 01:00PM ET",3.200,"NYG"
"DST","Bears ",2500,"Chi@NYG 01:00PM ET",6.222,"Chi"
"TE","Darren Fells",2500,"Ari@Min 01:00PM ET",2.157,"Ari"
"TE","Jermaine Gresham",2500,"Ari@Min 01:00PM ET",3.267,"Ari"
"TE","Rhett Ellison",2500,"Ari@Min 01:00PM ET",1.788,"Min"
"TE","Kevin McDermott",2500,"Ari@Min 01:00PM ET",0.000,"Min"
"TE","David Morgan",2500,"Ari@Min 01:00PM ET",0.000,"Min"
"TE","Hakeem Valles",2500,"Ari@Min 01:00PM ET",0.000,"Ari"
"TE","Cory Harkey",2500,"Mia@LA 04:05PM ET",0.000,"LA"
"TE","MarQueis Gray",2500,"Mia@LA 04:05PM ET",1.989,"Mia"
"TE","Dion Sims",2500,"Mia@LA 04:05PM ET",2.486,"Mia"
