"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16939-25272","TE","Eric","","Ebron","10.016666412353516","6","5400","JAC@DET","DET","JAC","","","",""
"16939-33766","RB","Rob","","Kelley","5.942856924874442","7","5400","GB@WAS","WAS","GB","","","",""
"16939-31732","WR","Corey","","Coleman","10.399999618530273","4","5400","PIT@CLE","CLE","PIT","","","",""
"16939-29685","WR","Robert","","Woods","8.912500381469727","8","5400","BUF@CIN","BUF","CIN","Q","Foot","",""
"16939-14349","WR","Jeremy","","Kerley","8.711111280653212","9","5300","NE@SF","SF","NE","","","",""
"16939-30733","WR","Cordarrelle","","Patterson","6.011110941569011","9","5300","ARI@MIN","MIN","ARI","","","",""
"16939-31836","WR","Terrance","","Williams","6.5625","8","5300","BAL@DAL","DAL","BAL","","","",""
"16939-24671","WR","Adam","","Humphries","7.255555894639757","9","5300","TB@KC","TB","KC","","","",""
"16939-11495","WR","Brandon","","LaFell","8.555555555555555","9","5300","BUF@CIN","CIN","BUF","","","",""
"16939-14643","RB","DuJuan","","Harris","9.59999974568685","3","5300","NE@SF","SF","NE","","","",""
"16939-32243","WR","Marquise","","Goodwin","8.014285496303014","7","5300","BUF@CIN","BUF","CIN","","","",""
"16939-22004","TE","Dwayne","","Allen","6.314285823277065","7","5300","TEN@IND","IND","TEN","","","",""
"16939-30244","RB","Matt","","Jones","10.185714721679688","7","5300","GB@WAS","WAS","GB","","","",""
"16939-7972","RB","Darren","","Sproles","9.188888549804688","9","5300","PHI@SEA","PHI","SEA","","","",""
"16939-29734","RB","Ty","","Montgomery","5.574999809265137","8","5200","GB@WAS","GB","WAS","","","",""
"16939-12550","D","Seattle","","Seahawks","8.666666666666666","9","5200","PHI@SEA","SEA","PHI","","","",""
"16939-6448","TE","Martellus","","Bennett","10.444444444444445","9","5200","NE@SF","NE","SF","Q","Ankle","",""
"16939-6479","WR","Anquan","","Boldin","8.455555386013454","9","5200","JAC@DET","DET","JAC","","","",""
"16939-52560","WR","Geronimo","","Allison","3.7666667302449546","3","5200","GB@WAS","GB","WAS","","","",""
"16939-6643","RB","Reggie","","Bush","2.866666793823242","6","5200","BUF@CIN","BUF","CIN","","","",""
"16939-6768","WR","Eddie","","Royal","9.885713849748884","7","5200","CHI@NYG","CHI","NYG","Q","Toe","",""
"16939-14198","QB","Christian","","Ponder","0","0","5200","NE@SF","SF","NE","","","",""
"16939-29683","WR","Nelson","","Agholor","5.155555725097656","9","5200","PHI@SEA","PHI","SEA","","","",""
"16939-12546","D","Arizona","","Cardinals","9.555555555555555","9","5100","ARI@MIN","ARI","MIN","","","",""
"16939-24891","RB","Chris","","Thompson","7.822222391764323","9","5100","GB@WAS","WAS","GB","","","",""
"16939-47523","WR","Tajae","","Sharpe","5.959999847412109","10","5100","TEN@IND","TEN","IND","","","",""
"16939-28095","RB","Thomas","","Rawls","4.800000190734863","2","5100","PHI@SEA","SEA","PHI","","","",""
"16939-34295","WR","Breshad","","Perriman","4.911111195882161","9","5100","BAL@DAL","BAL","DAL","","","",""
"16939-14952","K","Dan","","Bailey","9.777777777777779","9","5100","BAL@DAL","DAL","BAL","","","",""
"16939-26458","WR","Tavon","","Austin","8.033333672417534","9","5100","MIA@LA","LA","MIA","","","",""
"16939-40857","RB","Peyton","","Barber","5.279999923706055","5","5100","TB@KC","TB","KC","","","",""
"16939-30775","WR","Justin","","Hunter","5.6200000762939455","5","5000","BUF@CIN","BUF","CIN","Q","Groin","",""
"16939-30788","QB","Tyler","","Bray","0","0","5000","TB@KC","KC","TB","","","",""
"16939-53331","QB","Taylor","","Heinicke","0","0","5000","ARI@MIN","MIN","ARI","","","",""
"16939-27801","QB","Nate","","Sudfeld","0","0","5000","GB@WAS","WAS","GB","","","",""
"16939-29915","QB","Brett","","Hundley","0.3199999928474426","1","5000","GB@WAS","GB","WAS","","","",""
"16939-25837","RB","Duke","","Johnson Jr.","8.2","10","5000","PIT@CLE","CLE","PIT","","","",""
"16939-12536","D","Kansas City","","Chiefs","10.777777777777779","9","5000","TB@KC","KC","TB","","","",""
"16939-26877","QB","Jake","","Heaps","0","0","5000","PHI@SEA","SEA","PHI","","","",""
"16939-27982","QB","Jake","","Rudock","0","0","5000","JAC@DET","DET","JAC","","","",""
"16939-14696","QB","Scott","","Tolzien","-0.07000000029802322","2","5000","TEN@IND","IND","TEN","","","",""
"16939-24949","QB","EJ","","Manuel","1.6999999682108562","3","5000","BUF@CIN","BUF","CIN","","","",""
"16939-27050","WR","Tyler","","Lockett","4.511110941569011","9","5000","PHI@SEA","SEA","PHI","","","",""
"16939-54705","QB","Dustin","","Vaughan","0","0","5000","PIT@CLE","PIT","CLE","","","",""
"16939-31170","QB","Brandon","","Allen","0","0","5000","JAC@DET","JAC","DET","","","",""
"16939-44500","QB","Keith","","Wenning","0","0","5000","BUF@CIN","CIN","BUF","","","",""
